"NAME","CITY","COUNT"
SAINVIL,PORT-DE-PAIX,436
FORTUNE,DELMAS,435
CELESTIN,GRESSIER,434
ST FLEUR,PORT-AU-PRINCE,434
PROPHETE,CAP-HAITIEN,433
ULYSSE,DELMAS,433
VICTOR,PETION-VILLE,433
ALPHONSE,PORT-AU-PRINCE,433
ALEXIS,JACMEL,432
SANON,PESTEL,432
SIMILIEN,PORT-AU-PRINCE,432
VOLCY,PORT-AU-PRINCE,431
CADET,DESSALINES,431
HYPPOLITE,DELMAS,430
JEAN LOUIS,TABARRE,430
SAMEDI,PORT-AU-PRINCE,430
SEIDE,PORT-AU-PRINCE,430
PETIT-FRERE,GONAIVES,430
PIERRE LOUIS,CITE-SOLEIL,429
SAINTIL,DELMAS,429
DORVAL,PORT-AU-PRINCE,429
MATHIEU,CARREFOUR,429
JOACHIM,PORT-AU-PRINCE,428
VOLTAIRE,PORT-AU-PRINCE,428
COLAS,CAP-HAITIEN,427
ANDRE,CROIX DES BOUQUETS,426
LINDOR,PETIT-GOAVE,426
SENAT,CAYES,426
EDMOND,DELMAS,425
MATHURIN,AQUIN,425
JULES,SAINT MARC,424
SANON,CORNILLON,424
SAINTILUS,GONAIVES,424
PETIT,PORT-DE-PAIX,424
BENJAMIN,CAP-HAITIEN,424
DARIUS,CROIX DES BOUQUETS,423
EXANTUS,PETION-VILLE,423
EUGENE,CROIX DES BOUQUETS,423
MATHURIN,PETION-VILLE,423
LUNDY,JEREMIE,423
JULES,GONAIVES,422
CONSTANT,PORT-AU-PRINCE,422
ANTOINE,PETIT-GOAVE,422
ST JEAN,PORT-AU-PRINCE,422
LOUISSAINT,PETIT-GOAVE,421
GEORGES,PETIT-GOAVE,421
NOEL,TABARRE,421
PHILIPPE,SAINT MARC,420
AMBROISE,PORT-AU-PRINCE,420
DORVIL,HINCHE,420
DORSAINVIL,VERRETTES,419
DESIR,TIBURON,419
MARCELIN,CROIX DES BOUQUETS,419
PAMPHILE,PETION-VILLE,419
SENATUS,PORT-AU-PRINCE,419
ALEXANDRE,CAP-HAITIEN,418
CADET,TABARRE,418
FANFAN,PORT-AU-PRINCE,418
GABRIEL,GONAIVES,416
NICOLAS,CROIX DES BOUQUETS,415
BENOIT,CARREFOUR,415
DESTINE,PORT-AU-PRINCE,414
LOUISSAINT,PORT-DE-PAIX,414
CASSEUS,CARREFOUR,413
BIEN-AIME,CERCA CARVAJAL,412
GUILLAUME,GONAIVES,412
JEROME,SAINT MARC,412
JEANTY,CROIX DES BOUQUETS,411
JEAN LOUIS,JEREMIE,411
JUSTE,DELMAS,411
RAYMOND,CROIX DES BOUQUETS,411
AZOR,PETION-VILLE,411
CASSEUS,GONAIVES,411
CADET,GONAIVES,411
COLAS,PORT-AU-PRINCE,411
BIEN-AIME,OUANAMINTHE,410
PIERRE-LOUIS,CROIX DES BOUQUETS,410
SIMEON,PETION-VILLE,410
ESPERANCE,PORT-AU-PRINCE,409
MARC,PORT-DE-PAIX,409
CLERGE,PORT-AU-PRINCE,409
ANDRE,CAP-HAITIEN,408
JULIEN,JEAN RABEL,408
FELIX,OUANAMINTHE,408
FLORESTAL,GONAIVES,408
SANON,AQUIN,407
GEORGES,BAINET,405
JEAN PIERRE,GONAIVES,405
CESAR,CARREFOUR,405
DURANDISSE,LEOGANE,405
CANTAVE,CROIX DES BOUQUETS,405
TOUSSAINT,JEREMIE,404
REMY,DELMAS,404
JEAN BAPTISTE,PORT-DE-PAIX,404
JEAN-BAPTISTE,JEAN RABEL,403
DESROSIERS,L'ARCAHAIE,403
RENE,L'ARCAHAIE,403
NICOLAS,SAINT MARC,402
FENELUS,GONAIVES,402
ESTIVERNE,SAINT MARC,402
JEAN JACQUES,PORT-AU-PRINCE,401
JULES,BELLE ANSE,401
RENE,MARIGOT,401
PIERRE-LOUIS,CAP-HAITIEN,401
BRUNO,PORT-AU-PRINCE,401
EDOUARD,HINCHE,401
CASSEUS,LEOGANE,400
LAUTURE,LA VALLEE,400
